Abd,sample,Species,Community,Curve,Tax_dis,Depth
0.541,A.2.C.60,Agrobacterium radiobacter,A,2,C,60
0.452,A.2.C.60,Celeribacter indicus,A,2,C,60
0.377,A.2.C.60,Antarctobacter heliothermus,A,2,C,60
0.315,A.2.C.60,Sinorhizobium fredii,A,2,C,60
0.263,A.2.C.60,Celeribacter marinus,A,2,C,60
0.22,A.2.C.60,Acetobacter aceti,A,2,C,60
0.184,A.2.C.60,Gluconacetobacter diazotrophicus,A,2,C,60
0.153,A.2.C.60,Taylorella asinigenitalis,A,2,C,60
0.128,A.2.C.60,Bordetella bronchiseptica,A,2,C,60
0.107,A.2.C.60,Acetobacter persici,A,2,C,60
0.089,A.2.C.60,Taylorella equigenitalis,A,2,C,60
0.075,A.2.C.60,Cronobacter sakazakii,A,2,C,60
0.062,A.2.C.60,Citrobacter koseri,A,2,C,60
0.052,A.2.C.60,Elizabethkingia meningoseptica,A,2,C,60
0.044,A.2.C.60,Chryseobacterium piperi,A,2,C,60
0.036,A.2.C.60,Cronobacter universalis,A,2,C,60
0.03,A.2.C.60,Elizabethkingia anophelis,A,2,C,60
0.025,A.2.C.60,Haloferax mediterranei,A,2,C,60
0.021,A.2.C.60,Halogeometricum borinquense,A,2,C,60
0.018,A.2.C.60,Gordonia bronchialis,A,2,C,60
0.015,A.2.C.60,Rhodococcus aetherivorans,A,2,C,60
0.012,A.2.C.60,Haloferax volcanii,A,2,C,60
0.01,A.2.C.60,Gordonia polyisoprenivorans,A,2,C,60
16.187,A.2.N.60,Cryptococcus neoformans,A,2,N,60
16.187,A.2.N.60,Cryptococcus neoformans,A,2,N,60
16.187,A.2.N.60,Cryptococcus neoformans,A,2,N,60
16.187,A.2.N.60,Cryptococcus neoformans,A,2,N,60
16.187,A.2.N.60,Cryptococcus neoformans,A,2,N,60
16.187,A.2.N.60,Cryptococcus neoformans,A,2,N,60
16.187,A.2.N.60,Cryptococcus neoformans,A,2,N,60
16.187,A.2.N.60,Cryptococcus neoformans,A,2,N,60
16.187,A.2.N.60,Cryptococcus neoformans,A,2,N,60
16.187,A.2.N.60,Cryptococcus neoformans,A,2,N,60
16.187,A.2.N.60,Cryptococcus neoformans,A,2,N,60
16.187,A.2.N.60,Cryptococcus neoformans,A,2,N,60
16.187,A.2.N.60,Cryptococcus neoformans,A,2,N,60
16.187,A.2.N.60,Cryptococcus neoformans,A,2,N,60
13.815,A.2.N.60,Saccharomyces cerevisiae,A,2,N,60
13.815,A.2.N.60,Saccharomyces cerevisiae,A,2,N,60
13.815,A.2.N.60,Saccharomyces cerevisiae,A,2,N,60
13.815,A.2.N.60,Saccharomyces cerevisiae,A,2,N,60
13.815,A.2.N.60,Saccharomyces cerevisiae,A,2,N,60
13.815,A.2.N.60,Saccharomyces cerevisiae,A,2,N,60
13.815,A.2.N.60,Saccharomyces cerevisiae,A,2,N,60
13.815,A.2.N.60,Saccharomyces cerevisiae,A,2,N,60
13.815,A.2.N.60,Saccharomyces cerevisiae,A,2,N,60
13.815,A.2.N.60,Saccharomyces cerevisiae,A,2,N,60
13.815,A.2.N.60,Saccharomyces cerevisiae,A,2,N,60
13.815,A.2.N.60,Saccharomyces cerevisiae,A,2,N,60
13.815,A.2.N.60,Saccharomyces cerevisiae,A,2,N,60
13.815,A.2.N.60,Saccharomyces cerevisiae,A,2,N,60
13.815,A.2.N.60,Saccharomyces cerevisiae,A,2,N,60
13.815,A.2.N.60,Saccharomyces cerevisiae,A,2,N,60
13.815,A.2.N.60,Saccharomyces cerevisiae,A,2,N,60
11.54,A.2.N.60,Encephalitozoon intestinalis,A,2,N,60
11.54,A.2.N.60,Encephalitozoon intestinalis,A,2,N,60
11.54,A.2.N.60,Encephalitozoon intestinalis,A,2,N,60
11.54,A.2.N.60,Encephalitozoon intestinalis,A,2,N,60
11.54,A.2.N.60,Encephalitozoon intestinalis,A,2,N,60
11.54,A.2.N.60,Encephalitozoon intestinalis,A,2,N,60
11.54,A.2.N.60,Encephalitozoon intestinalis,A,2,N,60
11.54,A.2.N.60,Encephalitozoon intestinalis,A,2,N,60
11.54,A.2.N.60,Encephalitozoon intestinalis,A,2,N,60
11.54,A.2.N.60,Encephalitozoon intestinalis,A,2,N,60
11.54,A.2.N.60,Encephalitozoon intestinalis,A,2,N,60
9.639,A.2.N.60,Anoxybacillus flavithermus,A,2,N,60
8.051,A.2.N.60,Anoxybacillus gonensis,A,2,N,60
6.725,A.2.N.60,Archaeoglobus fulgidus,A,2,N,60
5.617,A.2.N.60,Archaeoglobus veneficus,A,2,N,60
4.692,A.2.N.60,Chlorobium limicola,A,2,N,60
3.919,A.2.N.60,Chlorobium luteolum,A,2,N,60
3.273,A.2.N.60,Thermocrinis ruber,A,2,N,60
2.734,A.2.N.60,Thermocrinis albus,A,2,N,60
2.284,A.2.N.60,Vibrio cholerae,A,2,N,60
2.284,A.2.N.60,Vibrio cholerae,A,2,N,60
1.907,A.2.N.60,Rhodobacter sphaeroides,A,2,N,60
1.907,A.2.N.60,Rhodobacter sphaeroides,A,2,N,60
1.593,A.2.N.60,Ensifer adhaerens,A,2,N,60
1.331,A.2.N.60,Sinorhizobium fredii,A,2,N,60
1.112,A.2.N.60,Agrobacterium radiobacter,A,2,N,60
1.112,A.2.N.60,Agrobacterium radiobacter,A,2,N,60
0.928,A.2.N.60,Celeribacter indicus,A,2,N,60
0.776,A.2.N.60,Acetobacter aceti,A,2,N,60
0.648,A.2.N.60,Acetobacter persici,A,2,N,60
0.541,A.2.N.60,Taylorella equigenitalis,A,2,N,60
0.452,A.2.N.60,Bordetella bronchiseptica,A,2,N,60
0.377,A.2.N.60,Cronobacter sakazakii,A,2,N,60
0.315,A.2.N.60,Elizabethkingia anophelis,A,2,N,60
0.263,A.2.N.60,Haloferax mediterranei,A,2,N,60
0.22,A.2.N.60,Haloferax volcanii,A,2,N,60
0.184,A.2.N.60,Gordonia polyisoprenivorans,A,2,N,60
0.153,A.2.N.60,Rhodococcus aetherivorans,A,2,N,60
16.187,A.2.R.1,Cryptococcus neoformans,A,2,R,10
16.187,A.2.R.1,Cryptococcus neoformans,A,2,R,10
16.187,A.2.R.1,Cryptococcus neoformans,A,2,R,10
16.187,A.2.R.1,Cryptococcus neoformans,A,2,R,10
16.187,A.2.R.1,Cryptococcus neoformans,A,2,R,10
16.187,A.2.R.1,Cryptococcus neoformans,A,2,R,10
16.187,A.2.R.1,Cryptococcus neoformans,A,2,R,10
16.187,A.2.R.1,Cryptococcus neoformans,A,2,R,10
16.187,A.2.R.1,Cryptococcus neoformans,A,2,R,10
16.187,A.2.R.1,Cryptococcus neoformans,A,2,R,10
16.187,A.2.R.1,Cryptococcus neoformans,A,2,R,10
16.187,A.2.R.1,Cryptococcus neoformans,A,2,R,10
16.187,A.2.R.1,Cryptococcus neoformans,A,2,R,10
16.187,A.2.R.1,Cryptococcus neoformans,A,2,R,10
13.815,A.2.R.1,Geobacillus thermocatenulatus,A,2,R,10
11.54,A.2.R.1,Agrobacterium radiobacter,A,2,R,10
11.54,A.2.R.1,Agrobacterium radiobacter,A,2,R,10
9.639,A.2.R.1,Brucella melitensis,A,2,R,10
9.639,A.2.R.1,Brucella melitensis,A,2,R,10
8.051,A.2.R.1,Rhodobacter sphaeroides,A,2,R,10
8.051,A.2.R.1,Rhodobacter sphaeroides,A,2,R,10
6.725,A.2.R.1,Archaeoglobus fulgidus,A,2,R,10
5.617,A.2.R.1,Halogeometricum borinquense,A,2,R,10
4.692,A.2.R.1,Ferroglobus placidus,A,2,R,10
3.919,A.2.R.1,Elizabethkingia anophelis,A,2,R,10
3.273,A.2.R.1,Encephalitozoon intestinalis,A,2,R,10
3.273,A.2.R.1,Encephalitozoon intestinalis,A,2,R,10
3.273,A.2.R.1,Encephalitozoon intestinalis,A,2,R,10
3.273,A.2.R.1,Encephalitozoon intestinalis,A,2,R,10
3.273,A.2.R.1,Encephalitozoon intestinalis,A,2,R,10
3.273,A.2.R.1,Encephalitozoon intestinalis,A,2,R,10
3.273,A.2.R.1,Encephalitozoon intestinalis,A,2,R,10
3.273,A.2.R.1,Encephalitozoon intestinalis,A,2,R,10
3.273,A.2.R.1,Encephalitozoon intestinalis,A,2,R,10
3.273,A.2.R.1,Encephalitozoon intestinalis,A,2,R,10
3.273,A.2.R.1,Encephalitozoon intestinalis,A,2,R,10
2.734,A.2.R.1,Chlorobium limicola,A,2,R,10
2.284,A.2.R.1,Haloferax mediterranei,A,2,R,10
1.907,A.2.R.1,Taylorella asinigenitalis,A,2,R,10
1.593,A.2.R.1,Bordetella bronchiseptica,A,2,R,10
1.331,A.2.R.1,Chryseobacterium piperi,A,2,R,10
1.112,A.2.R.1,Celeribacter marinus,A,2,R,10
0.928,A.2.R.1,Thermocrinis albus,A,2,R,10
0.776,A.2.R.1,Celeribacter indicus,A,2,R,10
0.648,A.2.R.1,Citrobacter koseri,A,2,R,10
0.541,A.2.R.1,Haloferax volcanii,A,2,R,10
0.452,A.2.R.1,Prosthecochloris aestuarii,A,2,R,10
0.377,A.2.R.1,Gordonia polyisoprenivorans,A,2,R,10
0.315,A.2.R.1,Ensifer adhaerens,A,2,R,10
0.263,A.2.R.1,Vibrio cholerae,A,2,R,10
0.263,A.2.R.1,Vibrio cholerae,A,2,R,10
0.22,A.2.R.1,Elizabethkingia meningoseptica,A,2,R,10
0.184,A.2.R.1,Antarctobacter heliothermus,A,2,R,10
0.153,A.2.R.1,Archaeoglobus veneficus,A,2,R,10
0.128,A.2.R.1,Anoxybacillus gonensis,A,2,R,10
0.107,A.2.R.1,Cronobacter sakazakii,A,2,R,10
0.089,A.2.R.1,Thermocrinis ruber,A,2,R,10
0.075,A.2.R.1,Saccharomyces cerevisiae,A,2,R,10
0.075,A.2.R.1,Saccharomyces cerevisiae,A,2,R,10
0.075,A.2.R.1,Saccharomyces cerevisiae,A,2,R,10
0.075,A.2.R.1,Saccharomyces cerevisiae,A,2,R,10
0.075,A.2.R.1,Saccharomyces cerevisiae,A,2,R,10
0.075,A.2.R.1,Saccharomyces cerevisiae,A,2,R,10
0.075,A.2.R.1,Saccharomyces cerevisiae,A,2,R,10
0.075,A.2.R.1,Saccharomyces cerevisiae,A,2,R,10
0.075,A.2.R.1,Saccharomyces cerevisiae,A,2,R,10
0.075,A.2.R.1,Saccharomyces cerevisiae,A,2,R,10
0.075,A.2.R.1,Saccharomyces cerevisiae,A,2,R,10
0.075,A.2.R.1,Saccharomyces cerevisiae,A,2,R,10
0.075,A.2.R.1,Saccharomyces cerevisiae,A,2,R,10
0.075,A.2.R.1,Saccharomyces cerevisiae,A,2,R,10
0.075,A.2.R.1,Saccharomyces cerevisiae,A,2,R,10
0.075,A.2.R.1,Saccharomyces cerevisiae,A,2,R,10
0.075,A.2.R.1,Saccharomyces cerevisiae,A,2,R,10
0.062,A.2.R.1,Hydrogenobacter thermophilus,A,2,R,10
0.052,A.2.R.1,Chlorobium luteolum,A,2,R,10
0.044,A.2.R.1,Acetobacter persici,A,2,R,10
0.036,A.2.R.1,Anoxybacillus flavithermus,A,2,R,10
0.03,A.2.R.1,Rhodococcus aetherivorans,A,2,R,10
0.025,A.2.R.1,Acetobacter aceti,A,2,R,10
0.021,A.2.R.1,Taylorella equigenitalis,A,2,R,10
0.018,A.2.R.1,Cronobacter universalis,A,2,R,10
0.015,A.2.R.1,Gordonia bronchialis,A,2,R,10
0.012,A.2.R.1,Gluconacetobacter diazotrophicus,A,2,R,10
0.01,A.2.R.1,Sinorhizobium fredii,A,2,R,10
16.187,A.2.R.10,Elizabethkingia anophelis,A,2,R,10
13.815,A.2.R.10,Cryptococcus neoformans,A,2,R,10
13.815,A.2.R.10,Cryptococcus neoformans,A,2,R,10
13.815,A.2.R.10,Cryptococcus neoformans,A,2,R,10
13.815,A.2.R.10,Cryptococcus neoformans,A,2,R,10
13.815,A.2.R.10,Cryptococcus neoformans,A,2,R,10
13.815,A.2.R.10,Cryptococcus neoformans,A,2,R,10
13.815,A.2.R.10,Cryptococcus neoformans,A,2,R,10
13.815,A.2.R.10,Cryptococcus neoformans,A,2,R,10
13.815,A.2.R.10,Cryptococcus neoformans,A,2,R,10
13.815,A.2.R.10,Cryptococcus neoformans,A,2,R,10
13.815,A.2.R.10,Cryptococcus neoformans,A,2,R,10
13.815,A.2.R.10,Cryptococcus neoformans,A,2,R,10
13.815,A.2.R.10,Cryptococcus neoformans,A,2,R,10
13.815,A.2.R.10,Cryptococcus neoformans,A,2,R,10
11.54,A.2.R.10,Rhodococcus aetherivorans,A,2,R,10
9.639,A.2.R.10,Haloferax volcanii,A,2,R,10
