Bin Id	Community	Abundance_distribution	Taxonomic_distribution	Depth	Pipeline	Marker lineage	Completeness	Contamination	Strain heterogeneity
A.1.O.60-DT-bin.22	A	1	O	60	DT	o__Actinomycetales (UID1815)	99.14	0.38	0
A.1.O.60-DT-bin.23	A	1	O	60	DT	o__Rhodospirillales (UID3754)	99.5	1	0
A.1.O.60-DT-bin.3	A	1	O	60	DT	k__Bacteria (UID203)	98.28	3.45	0
A.1.O.60-DT-bin.4	A	1	O	60	DT	p__Euryarchaeota (UID49)	99.35	1.31	0
A.1.O.60-DT-bin.5	A	1	O	60	DT	o__Burkholderiales (UID4000)	99.53	1.93	0
A.1.O.60-DT-bin.6	A	1	O	60	DT	f__Halobacteriaceae (UID96)	91.1	5.7	52.94
A.1.O.60-DT-bin.7	A	1	O	60	DT	f__Halobacteriaceae (UID96)	99.42	2.63	23.33
A.1.O.60-DT-bin.8	A	1	O	60	DT	k__Bacteria (UID2570)	98.91	0	0
A.1.O.60-DT-bin.9	A	1	O	60	DT	f__Rhodobacteraceae (UID3356)	99.24	0.3	0
A.2.C.60-8K-bin.1	A	2	C	60	8K	k__Bacteria (UID3060)	98.58	0	0
A.2.C.60-8K-bin.10	A	2	C	60	8K	k__Bacteria (UID3060)	98.78	0.51	0
A.2.C.60-8K-bin.11	A	2	C	60	8K	f__Rhodobacteraceae (UID3361)	94.39	2.55	0
A.2.C.60-8K-bin.12	A	2	C	60	8K	k__Bacteria (UID3060)	97.97	0	0
A.2.C.60-8K-bin.13	A	2	C	60	8K	f__Rhodobacteraceae (UID3361)	94.39	2.55	0
A.2.C.60-8K-bin.14	A	2	C	60	8K	f__Bacillaceae (UID829)	98.31	0.03	0
A.2.C.60-8K-bin.15	A	2	C	60	8K	f__Rhodobacteraceae (UID3361)	94.39	2.55	0
A.2.C.60-8K-bin.16	A	2	C	60	8K	o__Rhizobiales (UID3481)	98.64	0.48	25
A.2.C.60-8K-bin.17	A	2	C	60	8K	p__Euryarchaeota (UID49)	97.39	0	0
A.2.C.60-8K-bin.18	A	2	C	60	8K	f__Bacillaceae (UID829)	98.31	0.03	0
A.2.C.60-8K-bin.19	A	2	C	60	8K	o__Rhizobiales (UID3481)	98.64	0.48	25
A.2.C.60-8K-bin.2	A	2	C	60	8K	f__Bacillaceae (UID829)	98.31	0.03	0
A.2.C.60-8K-bin.20	A	2	C	60	8K	k__Bacteria (UID2570)	98.91	0	0
A.2.C.60-8K-bin.21	A	2	C	60	8K	k__Bacteria (UID3060)	98.78	0.51	0
A.2.C.60-8K-bin.22	A	2	C	60	8K	k__Bacteria (UID3060)	98.78	0.51	0
A.2.C.60-8K-bin.23	A	2	C	60	8K	k__Bacteria (UID3060)	98.58	0	0
A.2.C.60-8K-bin.24	A	2	C	60	8K	k__Bacteria (UID3060)	98.58	0	0
A.2.C.60-8K-bin.25	A	2	C	60	8K	k__Bacteria (UID2570)	98.91	0	0
A.2.C.60-8K-bin.26	A	2	C	60	8K	g__Vibrio (UID4878)	98.67	0.03	0
A.2.C.60-8K-bin.27	A	2	C	60	8K	k__Bacteria (UID3060)	98.58	0	0
A.2.C.60-8K-bin.28	A	2	C	60	8K	g__Vibrio (UID4878)	98.67	0.03	0
A.2.C.60-8K-bin.29	A	2	C	60	8K	p__Euryarchaeota (UID49)	97.39	0	0
A.2.C.60-8K-bin.3	A	2	C	60	8K	p__Euryarchaeota (UID49)	97.39	0	0
A.2.C.60-8K-bin.30	A	2	C	60	8K	k__Bacteria (UID3060)	97.97	0	0
A.2.C.60-8K-bin.31	A	2	C	60	8K	p__Euryarchaeota (UID49)	97.39	0	0
A.2.C.60-8K-bin.32	A	2	C	60	8K	k__Bacteria (UID2570)	98.91	0	0
A.2.C.60-8K-bin.33	A	2	C	60	8K	k__Bacteria (UID3060)	98.78	0.51	0
A.2.C.60-8K-bin.34	A	2	C	60	8K	k__Bacteria (UID2570)	98.91	0	0
A.2.C.60-8K-bin.35	A	2	C	60	8K	k__Bacteria (UID3060)	97.97	0	0
A.2.C.60-8K-bin.36	A	2	C	60	8K	o__Rhizobiales (UID3481)	98.64	0.48	25
A.2.C.60-8K-bin.4	A	2	C	60	8K	k__Bacteria (UID3060)	97.97	0	0
A.2.C.60-8K-bin.5	A	2	C	60	8K	f__Rhodobacteraceae (UID3361)	94.39	2.55	0
A.2.C.60-8K-bin.6	A	2	C	60	8K	o__Rhizobiales (UID3481)	98.64	0.48	25
A.2.C.60-8K-bin.7	A	2	C	60	8K	f__Bacillaceae (UID829)	98.31	0.03	0
A.2.C.60-8K-bin.8	A	2	C	60	8K	g__Vibrio (UID4878)	98.67	0.03	0
A.2.C.60-8K-bin.9	A	2	C	60	8K	g__Vibrio (UID4878)	98.67	0.03	0
A.2.C.60-DT-bin.1	A	2	C	60	DT	k__Bacteria (UID2570)	100	0	0
A.2.C.60-DT-bin.10	A	2	C	60	DT	g__Vibrio (UID4878)	98.67	0.03	0
A.2.C.60-DT-bin.11	A	2	C	60	DT	f__Rhodobacteraceae (UID3340)	99.39	0	0
A.2.C.60-DT-bin.12	A	2	C	60	DT	k__Bacteria (UID3060)	98.37	0	0
A.2.C.60-DT-bin.13	A	2	C	60	DT	f__Rhodobacteraceae (UID3356)	96.54	2.04	18.18
A.2.C.60-DT-bin.14	A	2	C	60	DT	p__Euryarchaeota (UID49)	97.39	0	0
A.2.C.60-DT-bin.15	A	2	C	60	DT	f__Rhodobacteraceae (UID3361)	94.75	3.15	0
A.2.C.60-DT-bin.16	A	2	C	60	DT	k__Bacteria (UID2570)	98.9	0.27	0
A.2.C.60-DT-bin.17	A	2	C	60	DT	p__Euryarchaeota (UID49)	99.35	1.31	0
A.2.C.60-DT-bin.2	A	2	C	60	DT	k__Bacteria (UID3060)	99.39	0	0
A.2.C.60-DT-bin.3	A	2	C	60	DT	p__Euryarchaeota (UID49)	100	0.65	0
A.2.C.60-DT-bin.4	A	2	C	60	DT	f__Rhodobacteraceae (UID3356)	83.21	2.67	13.33
A.2.C.60-DT-bin.5	A	2	C	60	DT	k__Bacteria (UID2570)	98.91	2.19	0
A.2.C.60-DT-bin.6	A	2	C	60	DT	k__Bacteria (UID3060)	98.78	1.73	0
A.2.C.60-DT-bin.7	A	2	C	60	DT	f__Bacillaceae (UID829)	98.31	0.03	0
A.2.C.60-DT-bin.8	A	2	C	60	DT	k__Archaea (UID2)	68.23	14.52	0
A.2.C.60-DT-bin.9	A	2	C	60	DT	o__Rhizobiales (UID3481)	99.44	0.95	12.5
A.2.C.60-MM-bin.1	A	2	C	60	MM	f__Bacillaceae (UID829)	97.76	0.03	0
A.2.C.60-MM-bin.10	A	2	C	60	MM	f__Rhizobiaceae (UID3564)	87.69	7.46	22.22
A.2.C.60-MM-bin.11	A	2	C	60	MM	g__Vibrio (UID4878)	98.31	3.91	25.53
A.2.C.60-MM-bin.12	A	2	C	60	MM	f__Rhodobacteraceae (UID3340)	98.48	0.33	0
A.2.C.60-MM-bin.13	A	2	C	60	MM	f__Rhizobiaceae (UID3563)	92.63	6.04	28.57
A.2.C.60-MM-bin.14	A	2	C	60	MM	k__Bacteria (UID3060)	98.98	0	0
A.2.C.60-MM-bin.15	A	2	C	60	MM	k__Bacteria (UID3060)	99.19	0	0
A.2.C.60-MM-bin.16	A	2	C	60	MM	f__Rhodobacteraceae (UID3361)	58.48	5.03	7.14
A.2.C.60-MM-bin.2	A	2	C	60	MM	o__Rhizobiales (UID3481)	99.44	0.51	25
A.2.C.60-MM-bin.4	A	2	C	60	MM	k__Bacteria (UID3060)	98.78	0.51	0
A.2.C.60-MM-bin.6	A	2	C	60	MM	k__Bacteria (UID2570)	98.9	0.27	0
A.2.C.60-MM-bin.7	A	2	C	60	MM	k__Bacteria (UID2570)	98.91	0	0
A.2.C.60-MM-bin.8	A	2	C	60	MM	f__Rhodobacteraceae (UID3356)	74.69	7.7	19.64
A.2.C.60-MM-bin.9	A	2	C	60	MM	k__Bacteria (UID2570)	100	0	0
A.2.N.60-8K-bin.1	A	2	N	60	8K	k__Bacteria (UID3060)	98.58	0	0
A.2.N.60-8K-bin.10	A	2	N	60	8K	k__Bacteria (UID3060)	98.58	0	0
A.2.N.60-8K-bin.11	A	2	N	60	8K	o__Burkholderiales (UID4000)	95.7	1.71	16.67
A.2.N.60-8K-bin.12	A	2	N	60	8K	k__Bacteria (UID3060)	97.56	0	0
A.2.N.60-8K-bin.13	A	2	N	60	8K	o__Burkholderiales (UID4000)	95.7	1.71	16.67
A.2.N.60-8K-bin.14	A	2	N	60	8K	g__Vibrio (UID4878)	98.69	0.03	0
A.2.N.60-8K-bin.15	A	2	N	60	8K	k__Bacteria (UID203)	72.73	0	0
A.2.N.60-8K-bin.16	A	2	N	60	8K	k__Bacteria (UID2570)	98.9	0	0
A.2.N.60-8K-bin.17	A	2	N	60	8K	k__Bacteria (UID3060)	97.56	0	0
A.2.N.60-8K-bin.18	A	2	N	60	8K	p__Euryarchaeota (UID49)	90.2	0	0
A.2.N.60-8K-bin.19	A	2	N	60	8K	c__Betaproteobacteria (UID3959)	91.38	0.12	0
A.2.N.60-8K-bin.2	A	2	N	60	8K	g__Vibrio (UID4878)	98.69	0.03	0
A.2.N.60-8K-bin.20	A	2	N	60	8K	f__Enterobacteriaceae (UID5054)	92.32	1.79	26.67
A.2.N.60-8K-bin.21	A	2	N	60	8K	k__Bacteria (UID2570)	98.9	0	0
A.2.N.60-8K-bin.22	A	2	N	60	8K	o__Rhodospirillales (UID3754)	99.9	0.5	0
A.2.N.60-8K-bin.23	A	2	N	60	8K	k__Bacteria (UID2570)	98.91	0	0
A.2.N.60-8K-bin.24	A	2	N	60	8K	k__Bacteria (UID3060)	97.56	0	0
A.2.N.60-8K-bin.25	A	2	N	60	8K	o__Rhodospirillales (UID3754)	99.9	0.5	0
A.2.N.60-8K-bin.26	A	2	N	60	8K	k__Bacteria (UID2570)	98.91	0	0
A.2.N.60-8K-bin.27	A	2	N	60	8K	f__Enterobacteriaceae (UID5054)	88.64	1.79	26.67
A.2.N.60-8K-bin.28	A	2	N	60	8K	c__Betaproteobacteria (UID3959)	97.78	0.12	0
A.2.N.60-8K-bin.29	A	2	N	60	8K	o__Rhodospirillales (UID3754)	97.47	0	0
A.2.N.60-8K-bin.3	A	2	N	60	8K	k__Bacteria (UID2570)	98.9	0	0
A.2.N.60-8K-bin.30	A	2	N	60	8K	k__Bacteria (UID3060)	98.58	0	0
A.2.N.60-8K-bin.31	A	2	N	60	8K	g__Vibrio (UID4878)	98.69	0.03	0
A.2.N.60-8K-bin.32	A	2	N	60	8K	k__Bacteria (UID2570)	98.91	0	0
A.2.N.60-8K-bin.33	A	2	N	60	8K	k__Bacteria (UID3060)	97.56	0	0
A.2.N.60-8K-bin.34	A	2	N	60	8K	f__Enterobacteriaceae (UID5054)	88.64	1.79	26.67
A.2.N.60-8K-bin.35	A	2	N	60	8K	k__Bacteria (UID3060)	98.58	0	0
A.2.N.60-8K-bin.36	A	2	N	60	8K	c__Betaproteobacteria (UID3959)	91.38	0.12	0
A.2.N.60-8K-bin.37	A	2	N	60	8K	k__Bacteria (UID2570)	98.9	0	0
A.2.N.60-8K-bin.38	A	2	N	60	8K	o__Rhodospirillales (UID3754)	97.47	0	0
A.2.N.60-8K-bin.39	A	2	N	60	8K	c__Betaproteobacteria (UID3959)	91.38	0.12	0
A.2.N.60-8K-bin.4	A	2	N	60	8K	o__Burkholderiales (UID4000)	95.7	1.71	16.67
A.2.N.60-8K-bin.40	A	2	N	60	8K	f__Enterobacteriaceae (UID5054)	88.64	1.79	26.67
A.2.N.60-8K-bin.41	A	2	N	60	8K	o__Rhodospirillales (UID3754)	99.9	0.5	0
A.2.N.60-8K-bin.5	A	2	N	60	8K	k__Bacteria (UID2570)	98.91	0	0
A.2.N.60-8K-bin.6	A	2	N	60	8K	o__Rhodospirillales (UID3754)	99.9	0.5	0
A.2.N.60-8K-bin.7	A	2	N	60	8K	g__Vibrio (UID4878)	98.69	0.03	0
A.2.N.60-8K-bin.8	A	2	N	60	8K	o__Rhodospirillales (UID3754)	97.47	0	0
A.2.N.60-8K-bin.9	A	2	N	60	8K	o__Rhodospirillales (UID3754)	97.47	0	0
A.2.N.60-DT-bin.1	A	2	N	60	DT	k__Bacteria (UID2570)	99.45	0	0
A.2.N.60-DT-bin.10	A	2	N	60	DT	o__Burkholderiales (UID4000)	96.57	1.71	16.67
A.2.N.60-DT-bin.11	A	2	N	60	DT	k__Bacteria (UID2570)	98.91	0.55	0
A.2.N.60-DT-bin.12	A	2	N	60	DT	f__Rhodobacteraceae (UID3340)	99.39	0	0
A.2.N.60-DT-bin.13	A	2	N	60	DT	k__Bacteria (UID2565)	95.41	1.71	66.67
A.2.N.60-DT-bin.14	A	2	N	60	DT	c__Betaproteobacteria (UID3959)	89.16	0	0
A.2.N.60-DT-bin.15	A	2	N	60	DT	f__Enterobacteriaceae (UID5054)	94	1.72	31.25
A.2.N.60-DT-bin.16	A	2	N	60	DT	o__Actinomycetales (UID1814)	49.09	10.47	1.85
A.2.N.60-DT-bin.17	A	2	N	60	DT	o__Rhodospirillales (UID3754)	97.47	2.9	0
A.2.N.60-DT-bin.2	A	2	N	60	DT	p__Euryarchaeota (UID49)	97.39	0	0
A.2.N.60-DT-bin.3	A	2	N	60	DT	o__Rhodospirillales (UID3754)	99.9	1	50
A.2.N.60-DT-bin.4	A	2	N	60	DT	k__Bacteria (UID3060)	99.19	0	0
A.2.N.60-DT-bin.5	A	2	N	60	DT	f__Rhodobacteraceae (UID3356)	90.37	1.61	0
A.2.N.60-DT-bin.6	A	2	N	60	DT	p__Euryarchaeota (UID49)	99.35	2.61	0
A.2.N.60-DT-bin.7	A	2	N	60	DT	g__Vibrio (UID4878)	99.86	0.14	0
A.2.N.60-DT-bin.8	A	2	N	60	DT	k__Bacteria (UID3060)	99.39	0	0
A.2.N.60-DT-bin.9	A	2	N	60	DT	k__Archaea (UID2)	68.23	14.52	0
A.2.N.60-MM-bin.1	A	2	N	60	MM	k__Bacteria (UID3060)	99.19	0	0
A.2.N.60-MM-bin.10	A	2	N	60	MM	c__Betaproteobacteria (UID3959)	86.11	8.62	20
A.2.N.60-MM-bin.11	A	2	N	60	MM	f__Enterobacteriaceae (UID5054)	55.1	6.55	8.57
A.2.N.60-MM-bin.12	A	2	N	60	MM	f__Rhodobacteraceae (UID3340)	99.09	0	0
A.2.N.60-MM-bin.13	A	2	N	60	MM	f__Rhizobiaceae (UID3563)	96.1	1.1	33.33
A.2.N.60-MM-bin.14	A	2	N	60	MM	g__Vibrio (UID4878)	99.77	0.03	0
A.2.N.60-MM-bin.2	A	2	N	60	MM	f__Rhodobacteraceae (UID3356)	98.59	2.17	12.5
A.2.N.60-MM-bin.3	A	2	N	60	MM	k__Bacteria (UID2570)	98.91	0	0
A.2.N.60-MM-bin.4	A	2	N	60	MM	o__Rhodospirillales (UID3754)	93.68	1.82	10
A.2.N.60-MM-bin.5	A	2	N	60	MM	o__Rhodospirillales (UID3754)	96.92	3.36	15.38
A.2.N.60-MM-bin.6	A	2	N	60	MM	o__Burkholderiales (UID4000)	72.94	7.85	21.21
A.2.N.60-MM-bin.7	A	2	N	60	MM	k__Bacteria (UID2570)	100	0	0
A.2.N.60-MM-bin.8	A	2	N	60	MM	f__Rhizobiaceae (UID3564)	99.24	0.4	75
A.2.N.60-MM-bin.9	A	2	N	60	MM	k__Bacteria (UID3060)	98.98	0	0
A.2.R.10-8K-bin.1	A	2	R	10	8K	f__Rhodobacteraceae (UID3356)	96.31	0.3	0
A.2.R.10-8K-bin.10	A	2	R	10	8K	f__Rhizobiaceae (UID3563)	96.44	0.3	100
A.2.R.10-8K-bin.11	A	2	R	10	8K	f__Rhizobiaceae (UID3563)	96.44	0.3	100
A.2.R.10-8K-bin.12	A	2	R	10	8K	f__Rhodobacteraceae (UID3356)	96.31	0.3	0
A.2.R.10-8K-bin.13	A	2	R	10	8K	f__Rhizobiaceae (UID3563)	96.44	0.3	100
A.2.R.10-8K-bin.14	A	2	R	10	8K	k__Bacteria (UID2570)	98.9	0	0
A.2.R.10-8K-bin.15	A	2	R	10	8K	o__Burkholderiales (UID4000)	98.13	0	0
A.2.R.10-8K-bin.16	A	2	R	10	8K	k__Bacteria (UID3060)	97.56	0	0
A.2.R.10-8K-bin.17	A	2	R	10	8K	f__Bacillaceae (UID829)	98.31	0.03	0
A.2.R.10-8K-bin.18	A	2	R	10	8K	f__Rhodobacteraceae (UID3361)	99.25	0.53	0
A.2.R.10-8K-bin.19	A	2	R	10	8K	o__Burkholderiales (UID4000)	98.13	0	0
A.2.R.10-8K-bin.2	A	2	R	10	8K	f__Rhizobiaceae (UID3563)	96.44	0.3	100
A.2.R.10-8K-bin.20	A	2	R	10	8K	f__Rhodobacteraceae (UID3361)	99.25	0.53	0
A.2.R.10-8K-bin.21	A	2	R	10	8K	c__Betaproteobacteria (UID3959)	99.01	0	0
A.2.R.10-8K-bin.22	A	2	R	10	8K	f__Rhodobacteraceae (UID3361)	99.25	0.53	0
A.2.R.10-8K-bin.23	A	2	R	10	8K	f__Rhodobacteraceae (UID3361)	99.25	0.53	0
A.2.R.10-8K-bin.24	A	2	R	10	8K	c__Betaproteobacteria (UID3959)	99.01	0	0
A.2.R.10-8K-bin.25	A	2	R	10	8K	f__Bacillaceae (UID829)	91.8	1.09	0
A.2.R.10-8K-bin.26	A	2	R	10	8K	k__Bacteria (UID3060)	99.39	0	0
A.2.R.10-8K-bin.27	A	2	R	10	8K	k__Bacteria (UID3060)	82.26	0.55	33.33
A.2.R.10-8K-bin.28	A	2	R	10	8K	k__Bacteria (UID2570)	98.9	0	0
A.2.R.10-8K-bin.29	A	2	R	10	8K	f__Rhodobacteraceae (UID3356)	96.31	0.3	0
A.2.R.10-8K-bin.3	A	2	R	10	8K	c__Betaproteobacteria (UID3959)	99.01	0	0
A.2.R.10-8K-bin.30	A	2	R	10	8K	c__Betaproteobacteria (UID3959)	99.01	0	0
A.2.R.10-8K-bin.31	A	2	R	10	8K	f__Bacillaceae (UID829)	91.8	1.09	0
A.2.R.10-8K-bin.32	A	2	R	10	8K	f__Bacillaceae (UID829)	98.31	0.03	0
A.2.R.10-8K-bin.33	A	2	R	10	8K	f__Rhodobacteraceae (UID3340)	97.78	1.06	0
A.2.R.10-8K-bin.34	A	2	R	10	8K	f__Bacillaceae (UID829)	98.31	0.03	0
A.2.R.10-8K-bin.35	A	2	R	10	8K	k__Bacteria (UID3060)	99.39	0	0
A.2.R.10-8K-bin.36	A	2	R	10	8K	f__Rhodobacteraceae (UID3340)	97.78	1.06	0
A.2.R.10-8K-bin.37	A	2	R	10	8K	f__Bacillaceae (UID829)	91.26	0.55	0
A.2.R.10-8K-bin.38	A	2	R	10	8K	k__Bacteria (UID3060)	99.39	0	0
A.2.R.10-8K-bin.39	A	2	R	10	8K	o__Burkholderiales (UID4000)	98.13	0	0
A.2.R.10-8K-bin.4	A	2	R	10	8K	f__Rhodobacteraceae (UID3356)	96.31	0.3	0
A.2.R.10-8K-bin.40	A	2	R	10	8K	f__Rhodobacteraceae (UID3340)	97.78	1.06	0
A.2.R.10-8K-bin.41	A	2	R	10	8K	f__Rhodobacteraceae (UID3340)	97.78	1.06	0
A.2.R.10-8K-bin.42	A	2	R	10	8K	f__Bacillaceae (UID829)	91.8	1.09	0
A.2.R.10-8K-bin.5	A	2	R	10	8K	f__Bacillaceae (UID829)	98.31	0.03	0
A.2.R.10-8K-bin.6	A	2	R	10	8K	o__Burkholderiales (UID4000)	98.13	0	0
A.2.R.10-8K-bin.7	A	2	R	10	8K	k__Bacteria (UID2570)	98.9	0	0
A.2.R.10-8K-bin.8	A	2	R	10	8K	k__Bacteria (UID2570)	98.9	0	0
A.2.R.10-8K-bin.9	A	2	R	10	8K	k__Bacteria (UID3060)	99.39	0	0
A.2.R.10-DT-bin.1	A	2	R	10	DT	p__Euryarchaeota (UID49)	99.02	3.27	20
