"Bin.Id"	"Community"	"Abundance_distribution"	"Taxonomic_distribution"	"Depth"	"Pipeline"	"Marker.lineage"	"Completeness"	"Contamination"	"Strain.heterogeneity"
"41"	"A.1.O.60-8K-bin.46"	"A"	1	"O"	60	"8K"	"o__Rhodospirillales (UID3754)"	97.47	0	0
"42"	"A.1.O.60-8K-bin.47"	"A"	1	"O"	60	"8K"	"f__Rhodobacteraceae (UID3361)"	99.25	0.53	0
"43"	"A.1.O.60-8K-bin.48"	"A"	1	"O"	60	"8K"	"f__Rhodobacteraceae (UID3356)"	96.31	0.3	0
"44"	"A.1.O.60-8K-bin.49"	"A"	1	"O"	60	"8K"	"k__Bacteria (UID3060)"	97.56	0	0
"45"	"A.1.O.60-8K-bin.5"	"A"	1	"O"	60	"8K"	"k__Bacteria (UID3060)"	98.58	0	0
"46"	"A.1.O.60-8K-bin.50"	"A"	1	"O"	60	"8K"	"o__Rhodospirillales (UID3754)"	99.9	0.5	0
"47"	"A.1.O.60-8K-bin.51"	"A"	1	"O"	60	"8K"	"o__Rhizobiales (UID3481)"	98.64	0.48	25
"48"	"A.1.O.60-8K-bin.52"	"A"	1	"O"	60	"8K"	"k__Bacteria (UID2570)"	98.91	0	0
"49"	"A.1.O.60-8K-bin.53"	"A"	1	"O"	60	"8K"	"f__Bacillaceae (UID829)"	98.31	0	0
"50"	"A.1.O.60-8K-bin.54"	"A"	1	"O"	60	"8K"	"o__Rhodospirillales (UID3754)"	99.4	0.5	0
"51"	"A.1.O.60-8K-bin.55"	"A"	1	"O"	60	"8K"	"o__Rhodospirillales (UID3754)"	99.5	0.5	0
"52"	"A.1.O.60-8K-bin.56"	"A"	1	"O"	60	"8K"	"o__Rhodospirillales (UID3754)"	97.47	0	0
"53"	"A.1.O.60-8K-bin.57"	"A"	1	"O"	60	"8K"	"p__Euryarchaeota (UID49)"	97.39	0	0
"54"	"A.1.O.60-8K-bin.58"	"A"	1	"O"	60	"8K"	"o__Rhizobiales (UID3481)"	98.64	0.48	25
"55"	"A.1.O.60-8K-bin.59"	"A"	1	"O"	60	"8K"	"c__Betaproteobacteria (UID3959)"	99.01	0	0
"56"	"A.1.O.60-8K-bin.6"	"A"	1	"O"	60	"8K"	"p__Euryarchaeota (UID49)"	97.39	0	0
"57"	"A.1.O.60-8K-bin.60"	"A"	1	"O"	60	"8K"	"o__Rhizobiales (UID3481)"	98.64	0.48	25
"58"	"A.1.O.60-8K-bin.7"	"A"	1	"O"	60	"8K"	"o__Burkholderiales (UID4000)"	96.26	0	0
"59"	"A.1.O.60-8K-bin.8"	"A"	1	"O"	60	"8K"	"o__Burkholderiales (UID4000)"	96.26	0	0
"60"	"A.1.O.60-8K-bin.9"	"A"	1	"O"	60	"8K"	"o__Rhodospirillales (UID3754)"	99.4	0.5	0
"61"	"A.1.O.60-DT-bin.1"	"A"	1	"O"	60	"DT"	"k__Bacteria (UID3060)"	99.39	0	0
"62"	"A.1.O.60-DT-bin.10"	"A"	1	"O"	60	"DT"	"f__Rhodobacteraceae (UID3356)"	98.64	0.72	0
"63"	"A.1.O.60-DT-bin.11"	"A"	1	"O"	60	"DT"	"p__Euryarchaeota (UID49)"	97.39	0	0
"64"	"A.1.O.60-DT-bin.12"	"A"	1	"O"	60	"DT"	"f__Rhodobacteraceae (UID3361)"	98.19	2.04	0
"65"	"A.1.O.60-DT-bin.13"	"A"	1	"O"	60	"DT"	"o__Rhizobiales (UID3481)"	98.88	3.52	12
"66"	"A.1.O.60-DT-bin.14"	"A"	1	"O"	60	"DT"	"f__Halobacteriaceae (UID96)"	89.88	3.74	68.75
"67"	"A.1.O.60-DT-bin.15"	"A"	1	"O"	60	"DT"	"k__Bacteria (UID3060)"	99.59	0	0
"68"	"A.1.O.60-DT-bin.16"	"A"	1	"O"	60	"DT"	"o__Rhodospirillales (UID3754)"	99.4	1.24	0
"70"	"A.1.O.60-DT-bin.18"	"A"	1	"O"	60	"DT"	"p__Euryarchaeota (UID49)"	100	2.61	0
"71"	"A.1.O.60-DT-bin.19"	"A"	1	"O"	60	"DT"	"k__Bacteria (UID3060)"	98.78	0.51	0
"72"	"A.1.O.60-DT-bin.2"	"A"	1	"O"	60	"DT"	"o__Rhodospirillales (UID3754)"	97.47	0	0
"73"	"A.1.O.60-DT-bin.20"	"A"	1	"O"	60	"DT"	"f__Bacillaceae (UID829)"	98.51	0	0
"74"	"A.1.O.60-DT-bin.21"	"A"	1	"O"	60	"DT"	"f__Rhodobacteraceae (UID3340)"	99.39	0	0
"75"	"A.1.O.60-DT-bin.22"	"A"	1	"O"	60	"DT"	"o__Actinomycetales (UID1815)"	99.14	0.38	0
"76"	"A.1.O.60-DT-bin.23"	"A"	1	"O"	60	"DT"	"o__Rhodospirillales (UID3754)"	99.5	1	0
"77"	"A.1.O.60-DT-bin.3"	"A"	1	"O"	60	"DT"	"k__Bacteria (UID203)"	98.28	3.45	0
"78"	"A.1.O.60-DT-bin.4"	"A"	1	"O"	60	"DT"	"p__Euryarchaeota (UID49)"	99.35	1.31	0
"79"	"A.1.O.60-DT-bin.5"	"A"	1	"O"	60	"DT"	"o__Burkholderiales (UID4000)"	99.53	1.93	0
"80"	"A.1.O.60-DT-bin.6"	"A"	1	"O"	60	"DT"	"f__Halobacteriaceae (UID96)"	91.1	5.7	52.94
"81"	"A.1.O.60-DT-bin.7"	"A"	1	"O"	60	"DT"	"f__Halobacteriaceae (UID96)"	99.42	2.63	23.33
"82"	"A.1.O.60-DT-bin.8"	"A"	1	"O"	60	"DT"	"k__Bacteria (UID2570)"	98.91	0	0
"83"	"A.1.O.60-DT-bin.9"	"A"	1	"O"	60	"DT"	"f__Rhodobacteraceae (UID3356)"	99.24	0.3	0
"84"	"A.2.C.60-8K-bin.1"	"A"	2	"C"	60	"8K"	"k__Bacteria (UID3060)"	98.58	0	0
"85"	"A.2.C.60-8K-bin.10"	"A"	2	"C"	60	"8K"	"k__Bacteria (UID3060)"	98.78	0.51	0
"86"	"A.2.C.60-8K-bin.11"	"A"	2	"C"	60	"8K"	"f__Rhodobacteraceae (UID3361)"	94.39	2.55	0
"87"	"A.2.C.60-8K-bin.12"	"A"	2	"C"	60	"8K"	"k__Bacteria (UID3060)"	97.97	0	0
"88"	"A.2.C.60-8K-bin.13"	"A"	2	"C"	60	"8K"	"f__Rhodobacteraceae (UID3361)"	94.39	2.55	0
"89"	"A.2.C.60-8K-bin.14"	"A"	2	"C"	60	"8K"	"f__Bacillaceae (UID829)"	98.31	0.03	0
"90"	"A.2.C.60-8K-bin.15"	"A"	2	"C"	60	"8K"	"f__Rhodobacteraceae (UID3361)"	94.39	2.55	0
"91"	"A.2.C.60-8K-bin.16"	"A"	2	"C"	60	"8K"	"o__Rhizobiales (UID3481)"	98.64	0.48	25
"92"	"A.2.C.60-8K-bin.17"	"A"	2	"C"	60	"8K"	"p__Euryarchaeota (UID49)"	97.39	0	0
"93"	"A.2.C.60-8K-bin.18"	"A"	2	"C"	60	"8K"	"f__Bacillaceae (UID829)"	98.31	0.03	0
"94"	"A.2.C.60-8K-bin.19"	"A"	2	"C"	60	"8K"	"o__Rhizobiales (UID3481)"	98.64	0.48	25
"95"	"A.2.C.60-8K-bin.2"	"A"	2	"C"	60	"8K"	"f__Bacillaceae (UID829)"	98.31	0.03	0
"96"	"A.2.C.60-8K-bin.20"	"A"	2	"C"	60	"8K"	"k__Bacteria (UID2570)"	98.91	0	0
"97"	"A.2.C.60-8K-bin.21"	"A"	2	"C"	60	"8K"	"k__Bacteria (UID3060)"	98.78	0.51	0
"98"	"A.2.C.60-8K-bin.22"	"A"	2	"C"	60	"8K"	"k__Bacteria (UID3060)"	98.78	0.51	0
"99"	"A.2.C.60-8K-bin.23"	"A"	2	"C"	60	"8K"	"k__Bacteria (UID3060)"	98.58	0	0
"100"	"A.2.C.60-8K-bin.24"	"A"	2	"C"	60	"8K"	"k__Bacteria (UID3060)"	98.58	0	0
"101"	"A.2.C.60-8K-bin.25"	"A"	2	"C"	60	"8K"	"k__Bacteria (UID2570)"	98.91	0	0
"102"	"A.2.C.60-8K-bin.26"	"A"	2	"C"	60	"8K"	"g__Vibrio (UID4878)"	98.67	0.03	0
"103"	"A.2.C.60-8K-bin.27"	"A"	2	"C"	60	"8K"	"k__Bacteria (UID3060)"	98.58	0	0
"104"	"A.2.C.60-8K-bin.28"	"A"	2	"C"	60	"8K"	"g__Vibrio (UID4878)"	98.67	0.03	0
"105"	"A.2.C.60-8K-bin.29"	"A"	2	"C"	60	"8K"	"p__Euryarchaeota (UID49)"	97.39	0	0
"106"	"A.2.C.60-8K-bin.3"	"A"	2	"C"	60	"8K"	"p__Euryarchaeota (UID49)"	97.39	0	0
"107"	"A.2.C.60-8K-bin.30"	"A"	2	"C"	60	"8K"	"k__Bacteria (UID3060)"	97.97	0	0
"108"	"A.2.C.60-8K-bin.31"	"A"	2	"C"	60	"8K"	"p__Euryarchaeota (UID49)"	97.39	0	0
"109"	"A.2.C.60-8K-bin.32"	"A"	2	"C"	60	"8K"	"k__Bacteria (UID2570)"	98.91	0	0
"110"	"A.2.C.60-8K-bin.33"	"A"	2	"C"	60	"8K"	"k__Bacteria (UID3060)"	98.78	0.51	0
"111"	"A.2.C.60-8K-bin.34"	"A"	2	"C"	60	"8K"	"k__Bacteria (UID2570)"	98.91	0	0
"112"	"A.2.C.60-8K-bin.35"	"A"	2	"C"	60	"8K"	"k__Bacteria (UID3060)"	97.97	0	0
"113"	"A.2.C.60-8K-bin.36"	"A"	2	"C"	60	"8K"	"o__Rhizobiales (UID3481)"	98.64	0.48	25
"114"	"A.2.C.60-8K-bin.4"	"A"	2	"C"	60	"8K"	"k__Bacteria (UID3060)"	97.97	0	0
"115"	"A.2.C.60-8K-bin.5"	"A"	2	"C"	60	"8K"	"f__Rhodobacteraceae (UID3361)"	94.39	2.55	0
"116"	"A.2.C.60-8K-bin.6"	"A"	2	"C"	60	"8K"	"o__Rhizobiales (UID3481)"	98.64	0.48	25
"117"	"A.2.C.60-8K-bin.7"	"A"	2	"C"	60	"8K"	"f__Bacillaceae (UID829)"	98.31	0.03	0
"118"	"A.2.C.60-8K-bin.8"	"A"	2	"C"	60	"8K"	"g__Vibrio (UID4878)"	98.67	0.03	0
"119"	"A.2.C.60-8K-bin.9"	"A"	2	"C"	60	"8K"	"g__Vibrio (UID4878)"	98.67	0.03	0
"120"	"A.2.C.60-DT-bin.1"	"A"	2	"C"	60	"DT"	"k__Bacteria (UID2570)"	100	0	0
"121"	"A.2.C.60-DT-bin.10"	"A"	2	"C"	60	"DT"	"g__Vibrio (UID4878)"	98.67	0.03	0
"122"	"A.2.C.60-DT-bin.11"	"A"	2	"C"	60	"DT"	"f__Rhodobacteraceae (UID3340)"	99.39	0	0
"123"	"A.2.C.60-DT-bin.12"	"A"	2	"C"	60	"DT"	"k__Bacteria (UID3060)"	98.37	0	0
"124"	"A.2.C.60-DT-bin.13"	"A"	2	"C"	60	"DT"	"f__Rhodobacteraceae (UID3356)"	96.54	2.04	18.18
"125"	"A.2.C.60-DT-bin.14"	"A"	2	"C"	60	"DT"	"p__Euryarchaeota (UID49)"	97.39	0	0
"126"	"A.2.C.60-DT-bin.15"	"A"	2	"C"	60	"DT"	"f__Rhodobacteraceae (UID3361)"	94.75	3.15	0
"127"	"A.2.C.60-DT-bin.16"	"A"	2	"C"	60	"DT"	"k__Bacteria (UID2570)"	98.9	0.27	0
"128"	"A.2.C.60-DT-bin.17"	"A"	2	"C"	60	"DT"	"p__Euryarchaeota (UID49)"	99.35	1.31	0
"129"	"A.2.C.60-DT-bin.2"	"A"	2	"C"	60	"DT"	"k__Bacteria (UID3060)"	99.39	0	0
"130"	"A.2.C.60-DT-bin.3"	"A"	2	"C"	60	"DT"	"p__Euryarchaeota (UID49)"	100	0.65	0
"131"	"A.2.C.60-DT-bin.4"	"A"	2	"C"	60	"DT"	"f__Rhodobacteraceae (UID3356)"	83.21	2.67	13.33
"132"	"A.2.C.60-DT-bin.5"	"A"	2	"C"	60	"DT"	"k__Bacteria (UID2570)"	98.91	2.19	0
"133"	"A.2.C.60-DT-bin.6"	"A"	2	"C"	60	"DT"	"k__Bacteria (UID3060)"	98.78	1.73	0
"134"	"A.2.C.60-DT-bin.7"	"A"	2	"C"	60	"DT"	"f__Bacillaceae (UID829)"	98.31	0.03	0
"136"	"A.2.C.60-DT-bin.9"	"A"	2	"C"	60	"DT"	"o__Rhizobiales (UID3481)"	99.44	0.95	12.5
"137"	"A.2.C.60-MM-bin.1"	"A"	2	"C"	60	"MM"	"f__Bacillaceae (UID829)"	97.76	0.03	0
"138"	"A.2.C.60-MM-bin.10"	"A"	2	"C"	60	"MM"	"f__Rhizobiaceae (UID3564)"	87.69	7.46	22.22
"139"	"A.2.C.60-MM-bin.11"	"A"	2	"C"	60	"MM"	"g__Vibrio (UID4878)"	98.31	3.91	25.53
"140"	"A.2.C.60-MM-bin.12"	"A"	2	"C"	60	"MM"	"f__Rhodobacteraceae (UID3340)"	98.48	0.33	0
"141"	"A.2.C.60-MM-bin.13"	"A"	2	"C"	60	"MM"	"f__Rhizobiaceae (UID3563)"	92.63	6.04	28.57
"142"	"A.2.C.60-MM-bin.14"	"A"	2	"C"	60	"MM"	"k__Bacteria (UID3060)"	98.98	0	0
"143"	"A.2.C.60-MM-bin.15"	"A"	2	"C"	60	"MM"	"k__Bacteria (UID3060)"	99.19	0	0
"145"	"A.2.C.60-MM-bin.2"	"A"	2	"C"	60	"MM"	"o__Rhizobiales (UID3481)"	99.44	0.51	25
"146"	"A.2.C.60-MM-bin.4"	"A"	2	"C"	60	"MM"	"k__Bacteria (UID3060)"	98.78	0.51	0
"147"	"A.2.C.60-MM-bin.6"	"A"	2	"C"	60	"MM"	"k__Bacteria (UID2570)"	98.9	0.27	0
"148"	"A.2.C.60-MM-bin.7"	"A"	2	"C"	60	"MM"	"k__Bacteria (UID2570)"	98.91	0	0
"150"	"A.2.C.60-MM-bin.9"	"A"	2	"C"	60	"MM"	"k__Bacteria (UID2570)"	100	0	0
"151"	"A.2.N.60-8K-bin.1"	"A"	2	"N"	60	"8K"	"k__Bacteria (UID3060)"	98.58	0	0
"152"	"A.2.N.60-8K-bin.10"	"A"	2	"N"	60	"8K"	"k__Bacteria (UID3060)"	98.58	0	0
"153"	"A.2.N.60-8K-bin.11"	"A"	2	"N"	60	"8K"	"o__Burkholderiales (UID4000)"	95.7	1.71	16.67
"154"	"A.2.N.60-8K-bin.12"	"A"	2	"N"	60	"8K"	"k__Bacteria (UID3060)"	97.56	0	0
"155"	"A.2.N.60-8K-bin.13"	"A"	2	"N"	60	"8K"	"o__Burkholderiales (UID4000)"	95.7	1.71	16.67
"156"	"A.2.N.60-8K-bin.14"	"A"	2	"N"	60	"8K"	"g__Vibrio (UID4878)"	98.69	0.03	0
"157"	"A.2.N.60-8K-bin.15"	"A"	2	"N"	60	"8K"	"k__Bacteria (UID203)"	72.73	0	0
"158"	"A.2.N.60-8K-bin.16"	"A"	2	"N"	60	"8K"	"k__Bacteria (UID2570)"	98.9	0	0
"159"	"A.2.N.60-8K-bin.17"	"A"	2	"N"	60	"8K"	"k__Bacteria (UID3060)"	97.56	0	0
"160"	"A.2.N.60-8K-bin.18"	"A"	2	"N"	60	"8K"	"p__Euryarchaeota (UID49)"	90.2	0	0
"161"	"A.2.N.60-8K-bin.19"	"A"	2	"N"	60	"8K"	"c__Betaproteobacteria (UID3959)"	91.38	0.12	0
"162"	"A.2.N.60-8K-bin.2"	"A"	2	"N"	60	"8K"	"g__Vibrio (UID4878)"	98.69	0.03	0
"163"	"A.2.N.60-8K-bin.20"	"A"	2	"N"	60	"8K"	"f__Enterobacteriaceae (UID5054)"	92.32	1.79	26.67
"164"	"A.2.N.60-8K-bin.21"	"A"	2	"N"	60	"8K"	"k__Bacteria (UID2570)"	98.9	0	0
"165"	"A.2.N.60-8K-bin.22"	"A"	2	"N"	60	"8K"	"o__Rhodospirillales (UID3754)"	99.9	0.5	0
"166"	"A.2.N.60-8K-bin.23"	"A"	2	"N"	60	"8K"	"k__Bacteria (UID2570)"	98.91	0	0
"167"	"A.2.N.60-8K-bin.24"	"A"	2	"N"	60	"8K"	"k__Bacteria (UID3060)"	97.56	0	0
"168"	"A.2.N.60-8K-bin.25"	"A"	2	"N"	60	"8K"	"o__Rhodospirillales (UID3754)"	99.9	0.5	0
"169"	"A.2.N.60-8K-bin.26"	"A"	2	"N"	60	"8K"	"k__Bacteria (UID2570)"	98.91	0	0
"170"	"A.2.N.60-8K-bin.27"	"A"	2	"N"	60	"8K"	"f__Enterobacteriaceae (UID5054)"	88.64	1.79	26.67
"171"	"A.2.N.60-8K-bin.28"	"A"	2	"N"	60	"8K"	"c__Betaproteobacteria (UID3959)"	97.78	0.12	0
"172"	"A.2.N.60-8K-bin.29"	"A"	2	"N"	60	"8K"	"o__Rhodospirillales (UID3754)"	97.47	0	0
"173"	"A.2.N.60-8K-bin.3"	"A"	2	"N"	60	"8K"	"k__Bacteria (UID2570)"	98.9	0	0
"174"	"A.2.N.60-8K-bin.30"	"A"	2	"N"	60	"8K"	"k__Bacteria (UID3060)"	98.58	0	0
"175"	"A.2.N.60-8K-bin.31"	"A"	2	"N"	60	"8K"	"g__Vibrio (UID4878)"	98.69	0.03	0
"176"	"A.2.N.60-8K-bin.32"	"A"	2	"N"	60	"8K"	"k__Bacteria (UID2570)"	98.91	0	0
"177"	"A.2.N.60-8K-bin.33"	"A"	2	"N"	60	"8K"	"k__Bacteria (UID3060)"	97.56	0	0
"178"	"A.2.N.60-8K-bin.34"	"A"	2	"N"	60	"8K"	"f__Enterobacteriaceae (UID5054)"	88.64	1.79	26.67
"179"	"A.2.N.60-8K-bin.35"	"A"	2	"N"	60	"8K"	"k__Bacteria (UID3060)"	98.58	0	0
"180"	"A.2.N.60-8K-bin.36"	"A"	2	"N"	60	"8K"	"c__Betaproteobacteria (UID3959)"	91.38	0.12	0
"181"	"A.2.N.60-8K-bin.37"	"A"	2	"N"	60	"8K"	"k__Bacteria (UID2570)"	98.9	0	0
"182"	"A.2.N.60-8K-bin.38"	"A"	2	"N"	60	"8K"	"o__Rhodospirillales (UID3754)"	97.47	0	0
"183"	"A.2.N.60-8K-bin.39"	"A"	2	"N"	60	"8K"	"c__Betaproteobacteria (UID3959)"	91.38	0.12	0
"184"	"A.2.N.60-8K-bin.4"	"A"	2	"N"	60	"8K"	"o__Burkholderiales (UID4000)"	95.7	1.71	16.67
"185"	"A.2.N.60-8K-bin.40"	"A"	2	"N"	60	"8K"	"f__Enterobacteriaceae (UID5054)"	88.64	1.79	26.67
"186"	"A.2.N.60-8K-bin.41"	"A"	2	"N"	60	"8K"	"o__Rhodospirillales (UID3754)"	99.9	0.5	0
"187"	"A.2.N.60-8K-bin.5"	"A"	2	"N"	60	"8K"	"k__Bacteria (UID2570)"	98.91	0	0
"188"	"A.2.N.60-8K-bin.6"	"A"	2	"N"	60	"8K"	"o__Rhodospirillales (UID3754)"	99.9	0.5	0
"189"	"A.2.N.60-8K-bin.7"	"A"	2	"N"	60	"8K"	"g__Vibrio (UID4878)"	98.69	0.03	0
"190"	"A.2.N.60-8K-bin.8"	"A"	2	"N"	60	"8K"	"o__Rhodospirillales (UID3754)"	97.47	0	0
"191"	"A.2.N.60-8K-bin.9"	"A"	2	"N"	60	"8K"	"o__Rhodospirillales (UID3754)"	97.47	0	0
"192"	"A.2.N.60-DT-bin.1"	"A"	2	"N"	60	"DT"	"k__Bacteria (UID2570)"	99.45	0	0
"193"	"A.2.N.60-DT-bin.10"	"A"	2	"N"	60	"DT"	"o__Burkholderiales (UID4000)"	96.57	1.71	16.67
"194"	"A.2.N.60-DT-bin.11"	"A"	2	"N"	60	"DT"	"k__Bacteria (UID2570)"	98.91	0.55	0
"195"	"A.2.N.60-DT-bin.12"	"A"	2	"N"	60	"DT"	"f__Rhodobacteraceae (UID3340)"	99.39	0	0
"196"	"A.2.N.60-DT-bin.13"	"A"	2	"N"	60	"DT"	"k__Bacteria (UID2565)"	95.41	1.71	66.67
"197"	"A.2.N.60-DT-bin.14"	"A"	2	"N"	60	"DT"	"c__Betaproteobacteria (UID3959)"	89.16	0	0
"198"	"A.2.N.60-DT-bin.15"	"A"	2	"N"	60	"DT"	"f__Enterobacteriaceae (UID5054)"	94	1.72	31.25
"200"	"A.2.N.60-DT-bin.17"	"A"	2	"N"	60	"DT"	"o__Rhodospirillales (UID3754)"	97.47	2.9	0
"201"	"A.2.N.60-DT-bin.2"	"A"	2	"N"	60	"DT"	"p__Euryarchaeota (UID49)"	97.39	0	0
"202"	"A.2.N.60-DT-bin.3"	"A"	2	"N"	60	"DT"	"o__Rhodospirillales (UID3754)"	99.9	1	50
"203"	"A.2.N.60-DT-bin.4"	"A"	2	"N"	60	"DT"	"k__Bacteria (UID3060)"	99.19	0	0
"204"	"A.2.N.60-DT-bin.5"	"A"	2	"N"	60	"DT"	"f__Rhodobacteraceae (UID3356)"	90.37	1.61	0
"205"	"A.2.N.60-DT-bin.6"	"A"	2	"N"	60	"DT"	"p__Euryarchaeota (UID49)"	99.35	2.61	0
"206"	"A.2.N.60-DT-bin.7"	"A"	2	"N"	60	"DT"	"g__Vibrio (UID4878)"	99.86	0.14	0
"207"	"A.2.N.60-DT-bin.8"	"A"	2	"N"	60	"DT"	"k__Bacteria (UID3060)"	99.39	0	0
"209"	"A.2.N.60-MM-bin.1"	"A"	2	"N"	60	"MM"	"k__Bacteria (UID3060)"	99.19	0	0
"212"	"A.2.N.60-MM-bin.12"	"A"	2	"N"	60	"MM"	"f__Rhodobacteraceae (UID3340)"	99.09	0	0
"213"	"A.2.N.60-MM-bin.13"	"A"	2	"N"	60	"MM"	"f__Rhizobiaceae (UID3563)"	96.1	1.1	33.33
"214"	"A.2.N.60-MM-bin.14"	"A"	2	"N"	60	"MM"	"g__Vibrio (UID4878)"	99.77	0.03	0
"215"	"A.2.N.60-MM-bin.2"	"A"	2	"N"	60	"MM"	"f__Rhodobacteraceae (UID3356)"	98.59	2.17	12.5
"216"	"A.2.N.60-MM-bin.3"	"A"	2	"N"	60	"MM"	"k__Bacteria (UID2570)"	98.91	0	0
"217"	"A.2.N.60-MM-bin.4"	"A"	2	"N"	60	"MM"	"o__Rhodospirillales (UID3754)"	93.68	1.82	10
